"eventkey","splitPointTimeId","splitPointId","entryId","elapsedDurationMs","elapsedDuration","splitDateTime","splitDateTimeLocal"
1746,152999,4313,23591,45600,"PT45.6S","2021-09-09T14:27:45.6","2021-09-09T17:27:45.6+03:00"
1746,153000,4313,23577,20400,"PT20.4S","2021-09-09T15:08:20.4","2021-09-09T18:08:20.4+03:00"
1746,153001,4313,23557,20500,"PT20.5S","2021-09-09T15:11:20.5","2021-09-09T18:11:20.5+03:00"
1746,153002,4313,23563,18800,"PT18.8S","2021-09-09T15:14:18.8","2021-09-09T18:14:18.8+03:00"
1746,153004,4313,23560,19000,"PT19S","2021-09-09T15:20:19","2021-09-09T18:20:19+03:00"
1746,153006,4313,23558,18000,"PT18S","2021-09-09T15:26:18","2021-09-09T18:26:18+03:00"
1746,153007,4313,23556,18700,"PT18.7S","2021-09-09T15:29:18.7","2021-09-09T18:29:18.7+03:00"
1746,153008,4313,23555,19500,"PT19.5S","2021-09-09T15:32:19.5","2021-09-09T18:32:19.5+03:00"
1746,153009,4313,23554,17800,"PT17.8S","2021-09-09T15:35:17.8","2021-09-09T18:35:17.8+03:00"
1746,153010,4313,23553,19100,"PT19.1S","2021-09-09T15:38:19.1","2021-09-09T18:38:19.1+03:00"
1746,153011,4313,23551,18000,"PT18S","2021-09-09T15:41:18","2021-09-09T18:41:18+03:00"
1746,153012,4313,23550,18000,"PT18S","2021-09-09T15:44:18","2021-09-09T18:44:18+03:00"
1746,153013,4313,23549,17800,"PT17.8S","2021-09-09T15:47:17.8","2021-09-09T18:47:17.8+03:00"
1746,153014,4313,23548,17900,"PT17.9S","2021-09-09T15:50:17.9","2021-09-09T18:50:17.9+03:00"
1746,153015,4313,23547,17400,"PT17.4S","2021-09-09T15:53:17.4","2021-09-09T18:53:17.4+03:00"
1746,153016,4313,23564,18900,"PT18.9S","2021-09-09T15:55:18.9","2021-09-09T18:55:18.9+03:00"
1746,153017,4313,23565,18500,"PT18.5S","2021-09-09T15:57:18.5","2021-09-09T18:57:18.5+03:00"
1746,153018,4313,23566,18600,"PT18.6S","2021-09-09T15:59:18.6","2021-09-09T18:59:18.6+03:00"
1746,153019,4313,23567,25300,"PT25.3S","2021-09-09T16:01:25.3","2021-09-09T19:01:25.3+03:00"
1746,153020,4313,23568,19300,"PT19.3S","2021-09-09T16:03:19.3","2021-09-09T19:03:19.3+03:00"
1746,153021,4313,23569,18300,"PT18.3S","2021-09-09T16:05:18.3","2021-09-09T19:05:18.3+03:00"
1746,153022,4313,23570,18800,"PT18.8S","2021-09-09T16:07:18.8","2021-09-09T19:07:18.8+03:00"
1746,153023,4313,23571,18800,"PT18.8S","2021-09-09T16:09:18.8","2021-09-09T19:09:18.8+03:00"
1746,153024,4313,23572,18200,"PT18.2S","2021-09-09T16:11:18.2","2021-09-09T19:11:18.2+03:00"
1746,153025,4313,23576,19400,"PT19.4S","2021-09-09T16:13:19.4","2021-09-09T19:13:19.4+03:00"
1746,153026,4313,23578,20300,"PT20.3S","2021-09-09T16:15:20.3","2021-09-09T19:15:20.3+03:00"
1746,153027,4313,23580,20800,"PT20.8S","2021-09-09T16:17:20.8","2021-09-09T19:17:20.8+03:00"
1746,153028,4313,23581,23100,"PT23.1S","2021-09-09T16:19:23.1","2021-09-09T19:19:23.1+03:00"
1746,153029,4313,23582,22300,"PT22.3S","2021-09-09T16:21:22.3","2021-09-09T19:21:22.3+03:00"
1746,153030,4313,23583,31700,"PT31.7S","2021-09-09T16:23:31.7","2021-09-09T19:23:31.7+03:00"
1746,153031,4313,23584,20700,"PT20.7S","2021-09-09T16:25:20.7","2021-09-09T19:25:20.7+03:00"
1746,153032,4313,23585,20400,"PT20.4S","2021-09-09T16:27:20.4","2021-09-09T19:27:20.4+03:00"
1746,153033,4313,23587,19800,"PT19.8S","2021-09-09T16:29:19.8","2021-09-09T19:29:19.8+03:00"
1746,153034,4313,23588,25800,"PT25.8S","2021-09-09T16:31:25.8","2021-09-09T19:31:25.8+03:00"
1746,153035,4313,23589,20900,"PT20.9S","2021-09-09T16:33:20.9","2021-09-09T19:33:20.9+03:00"
1746,153036,4313,23590,21500,"PT21.5S","2021-09-09T16:35:21.5","2021-09-09T19:35:21.5+03:00"
1746,153037,4313,23592,21400,"PT21.4S","2021-09-09T16:39:21.4","2021-09-09T19:39:21.4+03:00"
1746,153038,4313,23593,29000,"PT29S","2021-09-09T16:41:29","2021-09-09T19:41:29+03:00"
1746,153039,4313,23596,26600,"PT26.6S","2021-09-09T16:43:26.6","2021-09-09T19:43:26.6+03:00"
1746,153040,4313,23594,22900,"PT22.9S","2021-09-09T16:45:22.9","2021-09-09T19:45:22.9+03:00"
1746,153041,4313,23595,22800,"PT22.8S","2021-09-09T16:47:22.8","2021-09-09T19:47:22.8+03:00"
1746,153042,4313,23597,22800,"PT22.8S","2021-09-09T16:49:22.8","2021-09-09T19:49:22.8+03:00"
1746,153043,4313,23598,30300,"PT30.3S","2021-09-09T16:51:30.3","2021-09-09T19:51:30.3+03:00"
1746,153044,4313,23599,26300,"PT26.3S","2021-09-09T16:53:26.3","2021-09-09T19:53:26.3+03:00"
1746,153045,4313,23600,25400,"PT25.4S","2021-09-09T16:55:25.4","2021-09-09T19:55:25.4+03:00"
1746,153048,4313,23601,35300,"PT35.3S","2021-09-09T16:57:35.3","2021-09-09T19:57:35.3+03:00"
1746,153049,4326,23547,225500,"PT3M45.5S","2021-09-10T07:36:45.5","2021-09-10T10:36:45.5+03:00"
1746,153051,4311,23547,414600,"PT6M54.6S","2021-09-10T07:39:54.6","2021-09-10T10:39:54.6+03:00"
1746,153054,4315,23547,680500,"PT11M20.5S","2021-09-10T07:44:20.5","2021-09-10T10:44:20.5+03:00"
1746,153050,4326,23548,225900,"PT3M45.9S","2021-09-10T07:39:45.9","2021-09-10T10:39:45.9+03:00"
1746,153053,4311,23548,416700,"PT6M56.7S","2021-09-10T07:42:56.7","2021-09-10T10:42:56.7+03:00"
1746,153057,4315,23548,682300,"PT11M22.3S","2021-09-10T07:47:22.3","2021-09-10T10:47:22.3+03:00"
1746,153052,4326,23549,227000,"PT3M47S","2021-09-10T07:42:47","2021-09-10T10:42:47+03:00"
1746,153056,4311,23549,419200,"PT6M59.2S","2021-09-10T07:45:59.2","2021-09-10T10:45:59.2+03:00"
1746,153060,4315,23549,688800,"PT11M28.8S","2021-09-10T07:50:28.8","2021-09-10T10:50:28.8+03:00"
1746,153055,4326,23550,223400,"PT3M43.4S","2021-09-10T07:45:43.4","2021-09-10T10:45:43.4+03:00"
1746,153059,4311,23550,416700,"PT6M56.7S","2021-09-10T07:48:56.7","2021-09-10T10:48:56.7+03:00"
1746,153063,4315,23550,682400,"PT11M22.4S","2021-09-10T07:53:22.4","2021-09-10T10:53:22.4+03:00"
1746,153058,4326,23551,222300,"PT3M42.3S","2021-09-10T07:48:42.3","2021-09-10T10:48:42.3+03:00"
1746,153061,4311,23551,412700,"PT6M52.7S","2021-09-10T07:51:52.7","2021-09-10T10:51:52.7+03:00"
1746,153066,4315,23551,679900,"PT11M19.9S","2021-09-10T07:56:19.9","2021-09-10T10:56:19.9+03:00"
1746,153062,4326,23553,227300,"PT3M47.3S","2021-09-10T07:51:47.3","2021-09-10T10:51:47.3+03:00"
1746,153064,4311,23553,422200,"PT7M2.2S","2021-09-10T07:55:02.2","2021-09-10T10:55:02.2+03:00"
1746,153069,4315,23553,695300,"PT11M35.3S","2021-09-10T07:59:35.3","2021-09-10T10:59:35.3+03:00"
1746,153065,4326,23554,224300,"PT3M44.3S","2021-09-10T07:54:44.3","2021-09-10T10:54:44.3+03:00"
1746,153067,4311,23554,419700,"PT6M59.7S","2021-09-10T07:57:59.7","2021-09-10T10:57:59.7+03:00"
1746,153071,4315,23554,688100,"PT11M28.1S","2021-09-10T08:02:28.1","2021-09-10T11:02:28.1+03:00"
1746,153068,4326,23555,229000,"PT3M49S","2021-09-10T07:57:49","2021-09-10T10:57:49+03:00"
1746,153072,4311,23555,419000,"PT6M59S","2021-09-10T08:00:59","2021-09-10T11:00:59+03:00"
1746,153076,4315,23555,691800,"PT11M31.8S","2021-09-10T08:05:31.8","2021-09-10T11:05:31.8+03:00"
1746,153070,4326,23556,227300,"PT3M47.3S","2021-09-10T08:00:47.3","2021-09-10T11:00:47.3+03:00"
1746,153073,4311,23556,422700,"PT7M2.7S","2021-09-10T08:04:02.7","2021-09-10T11:04:02.7+03:00"
1746,153078,4315,23556,693100,"PT11M33.1S","2021-09-10T08:08:33.1","2021-09-10T11:08:33.1+03:00"
1746,153074,4326,23557,252300,"PT4M12.3S","2021-09-10T08:04:12.3","2021-09-10T11:04:12.3+03:00"
1746,153075,4311,23557,469700,"PT7M49.7S","2021-09-10T08:07:49.7","2021-09-10T11:07:49.7+03:00"
1746,153082,4315,23557,767900,"PT12M47.9S","2021-09-10T08:12:47.9","2021-09-10T11:12:47.9+03:00"
1746,153077,4326,23558,233800,"PT3M53.8S","2021-09-10T08:07:53.8","2021-09-10T11:07:53.8+03:00"
1746,153080,4311,23558,432200,"PT7M12.2S","2021-09-10T08:11:12.2","2021-09-10T11:11:12.2+03:00"
