"eventkey","id","name","active","countdown","jwrc","deleted","images.format16x9.320x180","images.format16x9.160x90","images.format16x9.path","nation.name","nation.alpha3","status","pageInfo.id","pageInfo.url","pageResult.id","pageResult.url","winner.id","winner.firstName","winner.lastName","winner.nation.id","winner.nation.name","winner.nation.alpha3","winner.page.id","winner.page.url"
1695,1695,"WRC Rallye Monte-Carlo",FALSE,FALSE,FALSE,FALSE,https://www.wrc.com/images/redaktion/WEB-2021/Events/logos/MC_Monte-Carlo-logo-2021_1_782fa_fz_320x180.png,https://www.wrc.com/images/redaktion/WEB-2021/Events/logos/MC_Monte-Carlo-logo-2021_1_c32f1_fz_160x90.png,/fileadmin/redaktion/WEB-2021/Events/logos/MC_Monte-Carlo-logo-2021_1.png,Monaco,MCO,Post Event, 38227,/en/championship/calendar/wrc/rallye-monte-carlo/overview/,111387,/en/results-standings/rally-results/rally-monte-carlo/results/, 10,Sébastien,OGIER, 338,France,FRA,1329,/en/championship/teams-and-drivers/season-2021/wrc/drivers/sebastien-ogier/
1745,1745,"WRC Arctic Rally Finland Powered by CapitalBox",FALSE,FALSE,FALSE,FALSE,https://www.wrc.com/images/redaktion/Web/Events/logos/ARF-go2_9a9d5_fz_320x180.png,https://www.wrc.com/images/redaktion/Web/Events/logos/ARF-go2_c0fe9_fz_160x90.png,/fileadmin/redaktion/Web/Events/logos/ARF-go2.png,Finland,FIN,Post Event,114631,/en/championship/calendar/wrc/wrc-arctic-rally-finland/overview/,120562,/en/results-standings/rally-results/arctic-rally-finnland/results/, 33,Ott,TÄNAK, 314,Estonia,EST,2911,/en/championship/teams-and-drivers/season-2021/wrc/drivers/ott-tanak/
1696,1696,"WRC Croatia Rally",FALSE,FALSE,TRUE,FALSE,https://www.wrc.com/images/redaktion/Web/Events/logos/croatia-logo_2_2021_13458_fz_320x180.png,https://www.wrc.com/images/redaktion/Web/Events/logos/croatia-logo_2_2021_a03ff_fz_160x90.png,/fileadmin/redaktion/Web/Events/logos/croatia-logo_2_2021.png,Croatia,HRV,Post Event,111630,/en/championship/calendar/wrc/wrc-rally-croatia/overview/,111415,/en/results-standings/rally-results/rally-croatia/results/, 10,Sébastien,OGIER, 338,France,FRA,1329,/en/championship/teams-and-drivers/season-2021/wrc/drivers/sebastien-ogier/
1698,1698,"WRC Vodafone Rally de Portugal",FALSE,FALSE,TRUE,FALSE,https://www.wrc.com/images/redaktion/WEB-2021/Events/logos/POR_Portugal-generic-logo_1_f0739_fz_320x180.png,https://www.wrc.com/images/redaktion/WEB-2021/Events/logos/POR_Portugal-generic-logo_1_af528_fz_160x90.png,/fileadmin/redaktion/WEB-2021/Events/logos/POR_Portugal-generic-logo_1.png,Portugal,PRT,Post Event, 85219,/en/championship/calendar/wrc/rally-de-portugal/overview/,111433,/en/results-standings/rally-results/rally-portugal/results/, 97,Elfyn,EVANS,1234,United Kingdom of Great Britain and Northern Ireland,GBR,2806,/en/championship/teams-and-drivers/season-2021/wrc/drivers/elfyn-evans/
1704,1704,"WRC Rally Italia Sardegna",FALSE,FALSE,FALSE,FALSE,https://www.wrc.com/images/redaktion/WEB-2021/Events/logos/ITA_ITALY-generic-logo_1_ab6ba_fz_320x180.png,https://www.wrc.com/images/redaktion/WEB-2021/Events/logos/ITA_ITALY-generic-logo_1_9ba2b_fz_160x90.png,/fileadmin/redaktion/WEB-2021/Events/logos/ITA_ITALY-generic-logo_1.png,Italy,ITA,Post Event, 85270,/en/championship/calendar/wrc/rally-italia-sardegna/overview/,111460,/en/results-standings/rally-results/rally-italia-sardegna/results/, 10,Sébastien,OGIER, 338,France,FRA,1329,/en/championship/teams-and-drivers/season-2021/wrc/drivers/sebastien-ogier/
1709,1709,"WRC Safari Rally Kenya",FALSE,FALSE,FALSE,FALSE,https://www.wrc.com/images/redaktion/WEB-2021/Events/logos/Safari-Rally-Kenya-2021-logo_f7702_fz_320x180.png,https://www.wrc.com/images/redaktion/WEB-2021/Events/logos/Safari-Rally-Kenya-2021-logo_3e133_fz_160x90.png,/fileadmin/redaktion/WEB-2021/Events/logos/Safari-Rally-Kenya-2021-logo.png,Kenya,KEN,Post Event, 85348,/en/championship/calendar/wrc/safari-rally-kenya/overview/,111474,/en/results-standings/rally-results/safari-rally-kenya/results/, 10,Sébastien,OGIER, 338,France,FRA,1329,/en/championship/teams-and-drivers/season-2021/wrc/drivers/sebastien-ogier/
1719,1719,"WRC Rally Estonia",FALSE,FALSE,TRUE,FALSE,https://www.wrc.com/images/redaktion/WEB-2021/Events/logos/WRC-Rally-Estonia-logo-2021_47fb3_fz_320x180.png,https://www.wrc.com/images/redaktion/WEB-2021/Events/logos/WRC-Rally-Estonia-logo-2021_0fd44_fz_160x90.png,/fileadmin/redaktion/WEB-2021/Events/logos/WRC-Rally-Estonia-logo-2021.png,Estonia,EST,Post Event,101900,/en/championship/calendar/wrc/-rally-estonia/overview/,111495,/en/results-standings/rally-results/rally-estonia/results/,171,Kalle,ROVANPERÄ, 337,Finland,FIN,2915,/en/championship/teams-and-drivers/season-2021/wrc/drivers/kalle-rovanpera/
1739,1739,"WRC Renties Ypres Rally Belgium",FALSE,FALSE,TRUE,FALSE,https://www.wrc.com/images/redaktion/Web-2020/Web-Content/Events/flags/belgium-web_2c4bc_fz_320x180.png,https://www.wrc.com/images/redaktion/Web-2020/Web-Content/Events/flags/belgium-web_e97a3_fz_160x90.png,/fileadmin/redaktion/Web-2020/Web-Content/Events/flags/belgium-web.png,Belgium,BEL,Post Event, 85589,/en/championship/calendar/wrc/ypres-rally-belgium/overview/,111548,/en/results-standings/rally-results/rally-belgium/results/, 25,Thierry,NEUVILLE, 135,Belgium,BEL,NA,NA
1746,1746,"WRC EKO Acropolis Rally Greece",TRUE,TRUE,FALSE,FALSE,https://www.wrc.com/images/redaktion/WEB-2021/Events/logos/WRC_Greece-2021_80269_fz_320x180.png,https://www.wrc.com/images/redaktion/WEB-2021/Events/logos/WRC_Greece-2021_d2188_fz_160x90.png,/fileadmin/redaktion/WEB-2021/Events/logos/WRC_Greece-2021.png,Greece,GRC,Post Event,123735,/en/championship/calendar/wrc/wrc-acropolis-rally-greece/overview/,147732,/en/results-standings/rally-results/rally-greece/results/,NA,NA,NA,NA,NA,NA,NA,NA
1730,1730,"WRC Secto Automotive Rally Finland",FALSE,FALSE,FALSE,FALSE,https://www.wrc.com/images/redaktion/WEB-2021/Events/flags/fin-web_60fb8_fz_320x180.png,https://www.wrc.com/images/redaktion/WEB-2021/Events/flags/fin-web_5538c_fz_160x90.png,/fileadmin/redaktion/WEB-2021/Events/flags/fin-web.png,Finland,FIN,Pre Event, 85394,/en/championship/calendar/wrc/secto-rally-finland/overview/,111520,/en/results-standings/rally-results/rally-finland/results/,NA,NA,NA,NA,NA,NA,NA,NA
1741,1741,"WRC RallyRACC Rally de España",FALSE,FALSE,TRUE,FALSE,https://www.wrc.com/images/redaktion/WEB-2021/Events/logos/ESP_Espana-logo-2021_1_4318c_fz_320x180.png,https://www.wrc.com/images/redaktion/WEB-2021/Events/logos/ESP_Espana-logo-2021_1_cb753_fz_160x90.png,/fileadmin/redaktion/WEB-2021/Events/logos/ESP_Espana-logo-2021_1.png,Spain,ESP,Pre Event,111772,/en/championship/calendar/wrc/wrc-rallyracc/overview/,111581,/en/results-standings/rally-results/rally-spain/results/,NA,NA,NA,NA,NA,NA,NA,NA
